asset,bytes_after
public/odessay-logo.svg,586
public/favicon.png,521
public/icon.png,2669
app/icon.png,2669
src-tauri/icons/128x128.png,2382
src-tauri/icons/128x128@2x.png,4589
src-tauri/icons/32x32.png,580
src-tauri/icons/64x64.png,1176
src-tauri/icons/Artifact-logo.png,248163
src-tauri/icons/Square107x107Logo.png,1942
src-tauri/icons/Square142x142Logo.png,2586
src-tauri/icons/Square150x150Logo.png,2712
src-tauri/icons/Square284x284Logo.png,5136
src-tauri/icons/Square30x30Logo.png,539
src-tauri/icons/Square310x310Logo.png,5542
src-tauri/icons/Square44x44Logo.png,760
src-tauri/icons/Square71x71Logo.png,1285
src-tauri/icons/Square89x89Logo.png,1627
src-tauri/icons/StoreLogo.png,906
src-tauri/icons/icon.icns,52963
src-tauri/icons/icon.ico,8799
src-tauri/icons/icon.png,10301
