asset,bytes_before
public/odessay-logo.svg,6888
public/favicon.png,3065
public/icon.png,67854
app/icon.png,67854
src-tauri/icons/128x128.png,6417
src-tauri/icons/128x128@2x.png,16258
src-tauri/icons/32x32.png,1226
src-tauri/icons/64x64.png,2825
src-tauri/icons/Artifact-logo.png,248163
src-tauri/icons/Square107x107Logo.png,5082
src-tauri/icons/Square142x142Logo.png,7317
src-tauri/icons/Square150x150Logo.png,7914
src-tauri/icons/Square284x284Logo.png,19397
src-tauri/icons/Square30x30Logo.png,1168
src-tauri/icons/Square310x310Logo.png,22382
src-tauri/icons/Square44x44Logo.png,1801
src-tauri/icons/Square71x71Logo.png,3192
src-tauri/icons/Square89x89Logo.png,4173
src-tauri/icons/StoreLogo.png,2053
src-tauri/icons/icon.icns,328458
src-tauri/icons/icon.ico,24491
src-tauri/icons/icon.png,51718
